skill,posting_count,data_analyst_count,business_analyst_count
SQL,146,114,32
Python,78,69,9
Power BI,69,54,15
Excel,66,48,18
Tableau,53,46,7
ETL,42,41,1
SAP,38,10,28
Machine Learning,34,25,9
Snowflake,23,19,4
Azure,22,17,5
Statistics,20,17,3
AWS,17,14,3
Spark,14,14,0
GCP,11,10,1
dbt,11,9,2
BigQuery,10,8,2
Looker,10,9,1
R,10,9,1
Airflow,8,7,1
Hadoop,7,7,0
Pandas,6,6,0
NumPy,5,5,0
VBA,5,5,0
Linux,3,1,2
Git,2,2,0
Kafka,2,1,1
Redshift,2,2,0
GitHub,1,0,1
Scikit-learn,1,1,0
